model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,94.84,0,2005.0,3252224,523,64,1.0,1e-06,0.02,,2,,0,60000,10000,0.0542563000053633,96.66,94.84,0,
mnist_linear,infer,stress,clip,1,202664700001,94.08,0,1986.0,3252224,529,64,1.0,1e-06,0.02,,2,,0,60000,10000,0.052111700002569705,96.66,94.08,0,
mnist_linear,infer,stress,clip,2,202664700002,94.51,0,2040.0,3252224,506,65,1.0,1e-06,0.02,,2,,0,60000,10000,0.05090309999650344,96.66,94.51,0,
mnist_linear,infer,stress,clip,3,202664700003,94.27,0,2044.0,3252224,468,62,1.0,1e-06,0.02,,2,,0,60000,10000,0.056741900014458224,96.66,94.27,0,
mnist_linear,infer,stress,clip,4,202664700004,90.8,0,2000.0,3252224,519,57,1.0,1e-06,0.02,,2,,0,60000,10000,0.05011509999167174,96.66,90.8,0,
mnist_linear,infer,stress,clip,5,202664700005,93.58,0,2131.0,3252224,538,76,1.0,1e-06,0.02,,2,,0,60000,10000,0.05910729998140596,96.66,93.58,0,
mnist_linear,infer,stress,clip,6,202664700006,91.6,0,2049.0,3252224,488,58,1.0,1e-06,0.02,,2,,0,60000,10000,0.058073599997442216,96.66,91.6,0,
mnist_linear,infer,stress,clip,7,202664700007,94.74,0,2067.0,3252224,521,46,1.0,1e-06,0.02,,2,,0,60000,10000,0.0542841000133194,96.66,94.74,0,
mnist_linear,infer,stress,clip,8,202664700008,94.53,0,2012.0,3252224,508,66,1.0,1e-06,0.02,,2,,0,60000,10000,0.0522711000230629,96.66,94.53,0,
mnist_linear,infer,stress,clip,9,202664700009,94.61,0,2015.0,3252224,480,65,1.0,1e-06,0.02,,2,,0,60000,10000,0.06182390000321902,96.66,94.61,0,
