model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.68,0,102.0,3252224,32,5,1.0,1e-06,0.001,,2,,0,60000,10000,0.032001799991121516,96.66,96.68,0,
mnist_linear,infer,stress,clip,1,202664700001,96.37,0,101.0,3252224,28,2,1.0,1e-06,0.001,,2,,0,60000,10000,0.024496500001987442,96.66,96.37,0,
mnist_linear,infer,stress,clip,2,202664700002,96.52,0,112.0,3252224,25,7,1.0,1e-06,0.001,,2,,0,60000,10000,0.022972499980824068,96.66,96.52,0,
mnist_linear,infer,stress,clip,3,202664700003,96.71,0,88.0,3252224,21,4,1.0,1e-06,0.001,,2,,0,60000,10000,0.022175699996296316,96.66,96.71,0,
mnist_linear,infer,stress,clip,4,202664700004,96.61,0,84.0,3252224,24,1,1.0,1e-06,0.001,,2,,0,60000,10000,0.025800300005357713,96.66,96.61,0,
mnist_linear,infer,stress,clip,5,202664700005,96.64,0,89.0,3252224,20,7,1.0,1e-06,0.001,,2,,0,60000,10000,0.0244863000116311,96.66,96.64,0,
mnist_linear,infer,stress,clip,6,202664700006,96.62,0,100.0,3252224,18,3,1.0,1e-06,0.001,,2,,0,60000,10000,0.018195099983131513,96.66,96.62,0,
mnist_linear,infer,stress,clip,7,202664700007,96.15,0,97.0,3252224,19,1,1.0,1e-06,0.001,,2,,0,60000,10000,0.021787400008179247,96.66,96.15,0,
mnist_linear,infer,stress,clip,8,202664700008,96.48,0,96.0,3252224,21,3,1.0,1e-06,0.001,,2,,0,60000,10000,0.02381109999259934,96.66,96.48,0,
mnist_linear,infer,stress,clip,9,202664700009,96.7,0,105.0,3252224,16,6,1.0,1e-06,0.001,,2,,0,60000,10000,0.026016099989647046,96.66,96.7,0,
