model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,96.66,0,2.0,3252224,1,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.021375900018028915,96.66,96.66,0,
mnist_linear,infer,stress,none,1,202613591001,96.66,0,8.0,3252224,2,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.021990799985360354,96.66,96.66,0,
mnist_linear,infer,stress,none,2,202613591002,96.66,0,5.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.021826500014867634,96.66,96.66,0,
mnist_linear,infer,stress,none,3,202613591003,96.66,0,3.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.022481399995740503,96.66,96.66,0,
mnist_linear,infer,stress,none,4,202613591004,96.66,0,3.0,3252224,1,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02293840001220815,96.66,96.66,0,
mnist_linear,infer,stress,none,5,202613591005,96.66,0,4.0,3252224,2,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.023313799989409745,96.66,96.66,0,
mnist_linear,infer,stress,none,6,202613591006,96.66,0,2.0,3252224,1,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.02273209998384118,96.66,96.66,0,
mnist_linear,infer,stress,none,7,202613591007,96.68,0,3.0,3252224,2,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.022779999999329448,96.66,96.68,0,
mnist_linear,infer,stress,none,8,202613591008,96.66,0,2.0,3252224,1,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.024566000007325783,96.66,96.66,0,
mnist_linear,infer,stress,none,9,202613591009,96.66,0,4.0,3252224,0,0,1.0,1e-06,3e-05,,2,,0,60000,10000,0.026107000012416393,96.66,96.66,0,
