model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,96.63,0,7.0,3252224,2,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.024466800008667633,96.66,96.63,0,
mnist_linear,infer,stress,none,1,202613591001,96.63,0,21.0,3252224,2,2,1.0,1e-06,0.0001,,2,,0,60000,10000,0.025955299992347136,96.66,96.63,0,
mnist_linear,infer,stress,none,2,202613591002,96.66,0,16.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.023026299983030185,96.66,96.66,0,
mnist_linear,infer,stress,none,3,202613591003,96.67,0,14.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.024083099997369573,96.66,96.67,0,
mnist_linear,infer,stress,none,4,202613591004,95.1,0,8.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.022644400014542043,96.66,95.1,0,
mnist_linear,infer,stress,none,5,202613591005,96.57,0,13.0,3252224,4,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.022274799994193017,96.66,96.57,0,
mnist_linear,infer,stress,none,6,202613591006,96.66,0,11.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.02396210000733845,96.66,96.66,0,
mnist_linear,infer,stress,none,7,202613591007,96.64,0,16.0,3252224,7,2,1.0,1e-06,0.0001,,2,,0,60000,10000,0.027179600001545623,96.66,96.64,0,
mnist_linear,infer,stress,none,8,202613591008,96.46,0,10.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.030168700002832338,96.66,96.46,0,
mnist_linear,infer,stress,none,9,202613591009,96.66,0,8.0,3252224,0,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.0315565999771934,96.66,96.66,0,
