model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,47.34,0,101.0,3252224,30,7,1.0,1e-06,0.001,,2,,0,60000,10000,0.024034300004132092,96.66,47.34,0,
mnist_linear,infer,stress,none,1,202613591001,45.79,0,107.0,3252224,22,3,1.0,1e-06,0.001,,2,,0,60000,10000,0.025811599974986166,96.66,45.79,0,
mnist_linear,infer,stress,none,2,202613591002,96.59,0,112.0,3252224,24,0,1.0,1e-06,0.001,,2,,0,60000,10000,0.022701699985191226,96.66,96.59,0,
mnist_linear,infer,stress,none,3,202613591003,78.09,0,118.0,3252224,33,5,1.0,1e-06,0.001,,2,,0,60000,10000,0.023661999992327765,96.66,78.09,0,
mnist_linear,infer,stress,none,4,202613591004,96.63,0,93.0,3252224,25,4,1.0,1e-06,0.001,,2,,0,60000,10000,0.023170000000391155,96.66,96.63,0,
mnist_linear,infer,stress,none,5,202613591005,33.24,0,106.0,3252224,31,2,1.0,1e-06,0.001,,2,,0,60000,10000,0.022735799982910976,96.66,33.24,0,
mnist_linear,infer,stress,none,6,202613591006,96.11,0,86.0,3252224,25,2,1.0,1e-06,0.001,,2,,0,60000,10000,0.023237899993546307,96.66,96.11,0,
mnist_linear,infer,stress,none,7,202613591007,96.63,0,117.0,3252224,32,6,1.0,1e-06,0.001,,2,,0,60000,10000,0.02168489998439327,96.66,96.63,0,
mnist_linear,infer,stress,none,8,202613591008,56.8,0,91.0,3252224,28,4,1.0,1e-06,0.001,,2,,0,60000,10000,0.023961300001246855,96.66,56.8,0,
mnist_linear,infer,stress,none,9,202613591009,40.65,0,109.0,3252224,24,3,1.0,1e-06,0.001,,2,,0,60000,10000,0.02665849999175407,96.66,40.65,0,
