model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,73.46,0,10111.0,3252224,2594,328,1.0,1e-06,0.1,,2,,0,60000,10000,0.18042990000685677,96.66,73.46,0,
mnist_linear,infer,stress,clip,1,202664700001,71.68,0,10001.0,3252224,2547,302,1.0,1e-06,0.1,,2,,0,60000,10000,0.18306549999397248,96.66,71.68,0,
mnist_linear,infer,stress,clip,2,202664700002,64.28,0,10236.0,3252224,2556,338,1.0,1e-06,0.1,,2,,0,60000,10000,0.2001919000176713,96.66,64.28,0,
mnist_linear,infer,stress,clip,3,202664700003,80.96,0,10210.0,3252224,2455,325,1.0,1e-06,0.1,,2,,0,60000,10000,0.19282379999640398,96.66,80.96,0,
mnist_linear,infer,stress,clip,4,202664700004,73.49,0,10005.0,3252224,2553,315,1.0,1e-06,0.1,,2,,0,60000,10000,0.18253240000922233,96.66,73.49,0,
mnist_linear,infer,stress,clip,5,202664700005,70.36,0,10276.0,3252224,2587,323,1.0,1e-06,0.1,,2,,0,60000,10000,0.18105559999821708,96.66,70.36,0,
mnist_linear,infer,stress,clip,6,202664700006,53.81,0,10127.0,3252224,2516,318,1.0,1e-06,0.1,,2,,0,60000,10000,0.19734069998958148,96.66,53.81,0,
mnist_linear,infer,stress,clip,7,202664700007,51.36,0,10059.0,3252224,2561,290,1.0,1e-06,0.1,,2,,0,60000,10000,0.18802540001343004,96.66,51.36,0,
mnist_linear,infer,stress,clip,8,202664700008,85.42,0,10080.0,3252224,2499,312,1.0,1e-06,0.1,,2,,0,60000,10000,0.21210500001325272,96.66,85.42,0,
mnist_linear,infer,stress,clip,9,202664700009,60.39,0,10267.0,3252224,2495,324,1.0,1e-06,0.1,,2,,0,60000,10000,0.19418710001627915,96.66,60.39,0,
