model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.65,0,10.0,3252224,3,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.02452970002195798,96.66,96.65,0,
mnist_linear,infer,stress,clip,1,202664700001,96.65,0,16.0,3252224,6,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.03166450001299381,96.66,96.65,0,
mnist_linear,infer,stress,clip,2,202664700002,96.66,0,14.0,3252224,3,2,1.0,1e-06,0.0001,,2,,0,60000,10000,0.029283299983944744,96.66,96.66,0,
mnist_linear,infer,stress,clip,3,202664700003,96.66,0,5.0,3252224,1,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.022429300006479025,96.66,96.66,0,
mnist_linear,infer,stress,clip,4,202664700004,96.66,0,8.0,3252224,2,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.019526600022800267,96.66,96.66,0,
mnist_linear,infer,stress,clip,5,202664700005,96.66,0,10.0,3252224,2,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.022854400012874976,96.66,96.66,0,
mnist_linear,infer,stress,clip,6,202664700006,96.43,0,9.0,3252224,2,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.022627400001510978,96.66,96.43,0,
mnist_linear,infer,stress,clip,7,202664700007,96.66,0,5.0,3252224,2,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.021736900001997128,96.66,96.66,0,
mnist_linear,infer,stress,clip,8,202664700008,96.67,0,15.0,3252224,4,0,1.0,1e-06,0.0001,,2,,0,60000,10000,0.021726799983298406,96.66,96.67,0,
mnist_linear,infer,stress,clip,9,202664700009,96.67,0,10.0,3252224,2,2,1.0,1e-06,0.0001,,2,,0,60000,10000,0.02488050001556985,96.66,96.67,0,
