model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,22.33,0,203.0,3252224,57,9,1.0,1e-06,0.002,,2,,0,60000,10000,0.026276999997207895,96.66,22.33,0,
mnist_linear,infer,stress,none,1,202613591001,10.0,1,197.0,3252224,40,8,1.0,1e-06,0.002,,2,,0,60000,10000,0.013939800002845004,96.66,10.0,0,
mnist_linear,infer,stress,none,2,202613591002,75.91,0,216.0,3252224,55,5,1.0,1e-06,0.002,,2,,0,60000,10000,0.027184099977603182,96.66,75.91,0,
mnist_linear,infer,stress,none,3,202613591003,28.47,0,215.0,3252224,59,11,1.0,1e-06,0.002,,2,,0,60000,10000,0.025186499988194555,96.66,28.47,0,
mnist_linear,infer,stress,none,4,202613591004,42.24,0,201.0,3252224,49,6,1.0,1e-06,0.002,,2,,0,60000,10000,0.023625300003914163,96.66,42.24,0,
mnist_linear,infer,stress,none,5,202613591005,92.81,0,218.0,3252224,58,5,1.0,1e-06,0.002,,2,,0,60000,10000,0.025549699988914654,96.66,92.81,0,
mnist_linear,infer,stress,none,6,202613591006,42.14,0,213.0,3252224,56,6,1.0,1e-06,0.002,,2,,0,60000,10000,0.025261700007831678,96.66,42.14,0,
mnist_linear,infer,stress,none,7,202613591007,82.29,0,229.0,3252224,60,8,1.0,1e-06,0.002,,2,,0,60000,10000,0.025313899997854605,96.66,82.29,0,
mnist_linear,infer,stress,none,8,202613591008,13.91,0,192.0,3252224,48,8,1.0,1e-06,0.002,,2,,0,60000,10000,0.030283000000054017,96.66,13.91,0,
mnist_linear,infer,stress,none,9,202613591009,81.81,0,201.0,3252224,41,7,1.0,1e-06,0.002,,2,,0,60000,10000,0.04871070000808686,96.66,81.81,0,
